FUND CODE,foreign_cash,foreign_global_equity,foreign_interest_rate_instruments,foreign_other_equity,local_cash,local_interest_rate_instruments,local_listed_equity,local_listed_property,local_other_equity,local_physical_property
KY78,0.0277,0.7435,0.2229,0,0.0056,0,0,0.0003,0,0
KY80,0,0.9804,0,0,0.0196,0,0,0,0,0
KY91,0.0007,0,0.0385,0,0.4318,0.529,0,0,0,0
KZ31,0.0619,0,0,0.8949,0.0324,0.0038,0.007,0,0,0
KZ32,0.036399999,0,0.061999998,0.00010004,-0.098799996,0.971299961,0,0.028999999,0,0
KZ33,0,0,0,0,0.0038,0,0,0.9962,0,0
KZ34,0,0,0,0,0.1459,0.8541,0,0,0,0
KZ35,0,0,0,0,0.0038,0,0,0.9962,0,0
KZ38,0.0192,0,0.1577,0.1724,0.0933,0.3894,0.1639,0.0041,0,0
LECT,1,0,0,0,0,0,0,0,0,0
LESM,1,0,0,0,0,0,0,0,0,0
LIGA,0.034441407,0.819928881,0.145629712,0,0,0,0,0,0,0
LIGB,0.053106376,0.639125292,0.307768332,0,0,0,0,0,0,0
LIGC,0.128004546,0.370295805,0.501699649,0,0,0,0,0,0,0
LIGE,0,0.9695,0.0002,0,0.0199,0,0.0104,0,0,0
LMON,0.9434,0,0.0566,0,0,0,0,0,0,0
LSCT,1,0,0,0,0,0,0,0,0,0
LUCT,1,0,0,0,0,0,0,0,0,0
MDEQ,0.0072,0.9928,0,0,0,0,0,0,0,0
MDGG,0.024033268,0.698423547,0.277543185,0,0,0,0,0,0,0
MDIF,0.681,0,0.319,0,0,0,0,0,0,0
MGGB,0.031,0.708,0.261,0,0,0,0,0,0,0
MGGE,0.043381,0.956619,0,0,0,0,0,0,0,0
MSCI,0,1,0,0,0,0,0,0,0,0
NGEQ,0.049751555,0.927807372,0.022441073,0,0,0,0,0,0,0
NGFL,0.047830795,0.545930777,0.406238428,0,0,0,0,0,0,0
NOGF,0.012297369,0.981179468,0.006523163,0,0,0,0,0,0,0
NOMA,0.025,0.117,0.858,0,0,0,0,0,0,0
NOSM,0.044340276,0.651836266,0.303823458,0,0,0,0,0,0,0
RE12,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
RE13,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
RE17,0.0004,0,0.9756,0,0.024,0,0,0,0,0
RE19,0.0004,0,0.9756,0,0.024,0,0,0,0,0
RE20,0,0,0,0,0.9932,0.0068,0,0,0,0
RE22,0.266272228,0.205579431,0.515275976,0,0.011217974,0,0.001654391,0,0,0
RE23,0.266272228,0.205579431,0.515275976,0,0.011217974,0,0.001654391,0,0,0
RE24,0.089648343,0.605689685,0.287681852,0,0.011457575,0,0.005522545,0,0,0
RE25,0.089648343,0.605689685,0.287681852,0,0.011457575,0,0.005522545,0,0,0
RE26,0.065726051,0.708476926,0.207326053,0,0.012421727,0,0.006049243,0,0,0
RE27,0.065726051,0.708476926,0.207326053,0,0.012421727,0,0.006049243,0,0,0
RE28,0.0106,0,0.002500012,0.418999983,0.026,0,0.534500004,0.0033,0.0041,0
RN50,0,0,0,0,0,0,1,0,0,0
RN51,0,0,0,0,0,0,1,0,0,0
RN52,0,0,0,0,0,1,0,0,0,0
RN53,0,0,0,0,1,0,0,0,0,0
RN54,0,0.049639706,0,0,0.725793564,0.173881231,0.050685499,0,0,0
RN55,0,0.049639706,0,0,0.725793564,0.173881231,0.050685499,0,0,0
RN56,0,0.348020684,0,0,0.172691038,0.152276331,0.327011947,0,0,0
RN57,0,0.348020684,0,0,0.172691038,0.152276331,0.327011947,0,0,0
RN58,0,0,0,0,0,0,1,0,0,0
RN59,0,0,0,0,0,0,1,0,0,0
RN66,0.052754974,0,0.016553568,0.323071236,0.105413085,0.20968815,0.272447877,2.74699E-06,0.000534016,0.019534347
RN67,0.052754974,0,0.016553568,0.323071236,0.105413085,0.20968815,0.272447877,2.74699E-06,0.000534016,0.019534347
RN68,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
RN69,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
RN70,0,0,0,0,0.0038,0,0,0.9962,0,0
RN77,0.0444,0,0.0518,0.2811,0.1124,0.1129,0.3693,0.0016,0.0265,0
RN78,0.0106,0,0.002500012,0.418999983,0.026,0,0.534500004,0.0033,0.0041,0
RN79,0.0732,0,0.0779,0.1449,0.2989,0.27,0.1196,0.0013,0.0142,0
RN80,0.0048,0,0.0803,0.345,0.0288,0.101,0.3854,0.0547,0,0
RN81,0,0,0,0,0.0026,0,0.9974,0,0,0
RN91,0.014308722,0,0.052593523,0.328203214,0.044859224,0.126565029,0.385491337,0.018087991,0.007431104,0.022459856
RN92,0,0.273417932,0,0,0.346483622,0.178222979,0.201875467,0,0,0
RN93,0,0.273417932,0,0,0.346483622,0.178222979,0.201875467,0,0,0
RN94,0,0.397640126,0,0,0.073883003,0.126677597,0.401799274,0,0,0
RN95,0,0.397640126,0,0,0.073883003,0.126677597,0.401799274,0,0,0
RN96,0,0.374210536,0,0,0.073756745,0.060701995,0.491330723,0,0,0
RN97,0,0.374210536,0,0,0.073756745,0.060701995,0.491330723,0,0,0
RP54,0,0,0,0,0,0,1,0,0,0
RP55,0,0,0,0,0,0,1,0,0,0
RP56,0.0444,0,0.0518,0.2811,0.1124,0.1129,0.3693,0.0016,0.0265,0
RP57,0.0106,0,0.002500012,0.418999983,0.026,0,0.534500004,0.0033,0.0041,0
RP60,0.0732,0,0.0779,0.1449,0.2989,0.27,0.1196,0.0013,0.0142,0
RP61,0.0232,0,0.1137,0.217,0.0879,0.3639,0.1485,0.0171,0.0287,0
RP62,0.0048,0,0.0803,0.345,0.0288,0.101,0.3854,0.0547,0,0
RP64,0,0,0,0,0.0026,0,0.9974,0,0,0
RP65,0,0,0,0,0.9212,0.0788,0,0,0,0
RP67,0.113999993,0,0.066299994,0.321800023,0.069999999,0.116799998,0.311099994,0,0,0
RP70,0,0,0,0,0.1459,0.8541,0,0,0,0
RP71,0,0,0,0,0.0038,0,0,0.9962,0,0
RP74,0.0192,0,0.1577,0.1724,0.0933,0.3894,0.1639,0.0041,0,0
RP75,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
RP77,0.0776,0,0.0516,0.1953,0.1219,0.3452,0.2084,0,0,0
RP79,0.004,0,0,0.4185,-0.0016,0,0.557,0.0221,0,0
RP82,0.0277,0.7435,0.2229,0,0.0056,0,0,0.0003,0,0
RP99,0.017322116,0,0.075833635,0.258417565,0.068832259,0.233644989,0.298380835,0.014639633,0.009672714,0.023256254
RQ01,0,0,0.1139,0,0.2826,0.5783,0.0015,0.0237,0,0
